time,machine_id,cpu_util
2017-10-03 22:10:00,m16,0.375
2017-10-03 22:20:00,m16,0.3
2017-10-03 22:30:00,m16,0.42666666667
2017-10-03 22:40:00,m16,0.3
2017-10-03 22:50:00,m16,0.3
2017-10-03 23:00:00,m16,0.3
2017-10-03 23:10:00,m16,0.355
2017-10-03 23:20:00,m16,0.3
2017-10-03 23:30:00,m16,0.5
2017-10-03 23:40:00,m16,0.24
2017-10-03 23:50:00,m16,0.64666666667
2017-10-04 00:00:00,m16,0.5
2017-10-04 00:10:00,m16,0.6
2017-10-04 00:20:00,m16,0.355
2017-10-04 00:30:00,m16,14.161666667
2017-10-04 00:40:00,m16,17.2
2017-10-04 00:50:00,m16,16.95
2017-10-04 01:00:00,m16,16.913333333
2017-10-04 01:10:00,m16,16.53
2017-10-04 01:20:00,m16,17.043333333
2017-10-04 01:30:00,m16,12.59
2017-10-04 01:40:00,m16,16.93
2017-10-04 01:50:00,m16,17.0
2017-10-04 02:00:00,m16,16.836666667
2017-10-04 02:10:00,m16,17.0
2017-10-04 02:20:00,m16,17.06
2017-10-04 02:30:00,m16,10.49
2017-10-04 02:40:00,m16,17.2
2017-10-04 02:50:00,m16,17.446666667
2017-10-04 03:00:00,m16,17.2
2017-10-04 03:10:00,m16,17.175
2017-10-04 03:20:00,m16,16.695
2017-10-04 03:30:00,m16,11.08
2017-10-04 03:40:00,m16,17.475
2017-10-04 03:50:00,m16,17.506666667
2017-10-04 04:00:00,m16,17.33
2017-10-04 04:10:00,m16,17.46
2017-10-04 04:20:00,m16,17.045
2017-10-04 04:30:00,m16,11.05
2017-10-04 04:40:00,m16,18.06
2017-10-04 04:50:00,m16,17.345
2017-10-04 05:00:00,m16,17.3
2017-10-04 05:10:00,m16,16.93
2017-10-04 05:20:00,m16,17.333333333
2017-10-04 05:30:00,m16,9.21
2017-10-04 05:40:00,m16,17.3
2017-10-04 05:50:00,m16,17.253333333
2017-10-04 06:00:00,m16,17.0
2017-10-04 06:10:00,m16,17.2
2017-10-04 06:20:00,m16,17.0
2017-10-04 06:30:00,m16,5.5666666667
2017-10-04 06:40:00,m16,17.025
2017-10-04 06:50:00,m16,17.22
2017-10-04 07:00:00,m16,17.4
2017-10-04 07:10:00,m16,17.653333333
2017-10-04 07:20:00,m16,17.4
2017-10-04 07:30:00,m16,9.8291666667
2017-10-04 07:40:00,m16,17.0
2017-10-04 07:50:00,m16,17.5
2017-10-04 08:00:00,m16,17.5
2017-10-04 08:10:00,m16,17.42
2017-10-04 08:20:00,m16,16.973333333
2017-10-04 08:30:00,m16,13.073333333
2017-10-04 08:40:00,m16,17.275
2017-10-04 08:50:00,m16,16.911666667
2017-10-04 09:00:00,m16,17.3
2017-10-04 09:10:00,m16,17.5
2017-10-04 09:20:00,m16,16.903333333
2017-10-04 09:30:00,m16,17.108333333
2017-10-04 09:40:00,m16,17.12
2017-10-04 09:50:00,m16,17.005
2017-10-04 10:00:00,m16,16.903333333
2017-10-04 10:10:00,m16,17.1
2017-10-04 10:20:00,m16,16.988333333
2017-10-04 10:30:00,m16,17.1
2017-10-04 10:40:00,m16,17.2
2017-10-04 10:50:00,m16,17.08
2017-10-04 11:00:00,m16,16.91
2017-10-04 11:10:00,m16,17.255
2017-10-04 11:20:00,m16,17.125
2017-10-04 11:30:00,m16,17.2
2017-10-04 11:40:00,m16,17.0
2017-10-04 11:50:00,m16,17.44
2017-10-04 12:00:00,m16,17.216666667
2017-10-04 12:10:00,m16,17.2
2017-10-04 12:20:00,m16,17.775
2017-10-04 12:30:00,m16,17.21
2017-10-04 12:40:00,m16,17.1
2017-10-04 12:50:00,m16,17.1
2017-10-04 13:00:00,m16,16.9
2017-10-04 13:10:00,m16,4.4166666667
2017-10-04 13:20:00,m16,0.2
2017-10-04 13:30:00,m16,0.2
2017-10-04 13:40:00,m16,0.32
2017-10-04 13:50:00,m16,0.445
2017-10-04 14:00:00,m16,0.90333333333
2017-10-04 14:10:00,m16,0.2
2017-10-04 14:20:00,m16,0.2
2017-10-04 14:30:00,m16,0.215
2017-10-04 14:40:00,m16,0.2
2017-10-04 14:50:00,m16,26.6
2017-10-04 15:00:00,m16,26.5
2017-10-04 15:10:00,m16,26.5
2017-10-04 15:20:00,m16,26.7
2017-10-04 15:30:00,m16,3.0266666667
2017-10-04 15:40:00,m16,0.325
2017-10-04 15:50:00,m16,5.4166666667
2017-10-04 16:00:00,m16,30.96
2017-10-04 16:10:00,m16,23.2
2017-10-04 16:20:00,m16,26.446666667
2017-10-04 16:30:00,m16,26.998333333
2017-10-04 16:40:00,m16,13.4
2017-10-04 16:50:00,m16,13.316666667
2017-10-04 17:00:00,m16,0.4
2017-10-04 17:10:00,m16,0.4
2017-10-04 17:20:00,m16,0.46666666667
2017-10-04 17:30:00,m16,0.50833333333
2017-10-04 17:40:00,m16,0.315
2017-10-04 17:50:00,m16,10.775
2017-10-04 18:00:00,m16,21.8
2017-10-04 18:10:00,m16,43.03
2017-10-04 18:20:00,m16,42.575
2017-10-04 18:30:00,m16,42.6
2017-10-04 18:40:00,m16,26.025
2017-10-04 18:50:00,m16,16.5
2017-10-04 19:00:00,m16,18.230833333
2017-10-04 19:10:00,m16,16.801666667
2017-10-04 19:20:00,m16,16.5
2017-10-04 19:30:00,m16,15.853333333
2017-10-04 19:40:00,m16,15.82
2017-10-04 19:50:00,m16,19.883333333
2017-10-04 20:00:00,m16,17.5
2017-10-04 20:10:00,m16,20.155
2017-10-04 20:20:00,m16,16.32
2017-10-04 20:30:00,m16,17.6
2017-10-04 20:40:00,m16,15.9
2017-10-04 20:50:00,m16,17.725
2017-10-04 21:00:00,m16,16.1
2017-10-04 21:10:00,m16,16.96
2017-10-04 21:20:00,m16,17.616666667
2017-10-04 21:30:00,m16,16.941666667
2017-10-04 21:40:00,m16,17.773333333
2017-10-04 21:50:00,m16,17.544166667
2017-10-04 22:00:00,m16,17.2
2017-10-04 22:10:00,m16,14.216666667
2017-10-04 22:20:00,m16,16.41
2017-10-04 22:30:00,m16,16.4
2017-10-04 22:40:00,m16,16.59
2017-10-04 22:50:00,m16,16.293333333
2017-10-04 23:00:00,m16,40.458333333
2017-10-04 23:10:00,m16,43.685
2017-10-04 23:20:00,m16,46.391666667
2017-10-04 23:30:00,m16,46.166666667
2017-10-04 23:40:00,m16,34.266666667
2017-10-04 23:50:00,m16,21.79
2017-10-05 00:00:00,m16,15.69
2017-10-05 00:10:00,m16,15.4
2017-10-05 00:20:00,m16,15.875
2017-10-05 00:30:00,m16,16.43
